code,name,行业,股息率_2023,最高_比_最低,最新_比_最高,最新_比_最低
601211,国泰君安,证券,2.95,17.16,-11.97,3.14
601228,广州港,航运港口,1.39,24.48,-14.33,6.64
601231,环旭电子,消费电子,1.59,46.98,-4.29,40.67
601233,桐昆股份,化纤行业,0.29,49.77,-7.22,38.96
601319,中国人保,保险,2.96,27.27,-9.52,15.15
601326,秦港股份,航运港口,2.51,28.62,-4.34,23.05
601333,广深铁路,物流行业,2.07,45.34,-5.57,37.25
601366,利群股份,商业百货,0.58,62.61,-8.89,48.16
601399,国机重装,专用设备,0.0,27.73,-14.8,8.82
601567,三星医疗,电网设备,2.02,132.17,-14.53,98.44
601600,中国铝业,有色金属,1.03,68.26,-6.05,58.08
601607,上海医药,医药商业,2.16,24.87,-1.44,23.07
601611,中国核建,工程建设,1.09,38.6,-6.11,30.13
601618,中国中冶,工程建设,2.3,18.37,-10.06,6.46
601633,长城汽车,汽车整车,1.14,55.91,-14.95,32.61
601669,中国电建,工程建设,2.5,26.44,-4.39,20.89
601677,明泰铝业,有色金属,0.97,58.5,-2.41,54.68
601702,华峰铝业,有色金属,1.08,45.21,-14.2,24.59
601766,中国中车,交运设备,2.58,56.04,-3.3,50.89
601777,力帆科技,汽车整车,0.0,74.12,-5.63,64.31
601816,京沪高铁,物流行业,2.06,18.42,-0.54,17.77
601827,三峰环境,环保行业,2.65,29.59,-0.34,29.15
601866,中远海发,航运港口,1.27,29.17,-11.11,14.81
601868,中国能建,工程建设,1.22,11.33,-5.75,4.93
601899,紫金矿业,贵金属,1.32,70.19,-5.08,61.54
601918,新集能源,煤炭行业,1.52,123.09,-14.06,91.74
601985,中国核电,电力行业,1.7,66.33,-2.09,62.84
601989,中国重工,船舶制造,0.19,35.57,-1.33,33.76
601990,南京证券,证券,1.06,18.54,-11.26,5.2
601991,大唐发电,电力行业,0.24,44.84,-4.02,39.01
603025,大豪科技,专用设备,2.13,89.43,-11.87,66.95
603067,振华股份,化学原料,1.51,76.2,-10.17,58.28
603117,ST万林,物流行业,0.0,95.56,-3.3,89.11
603160,汇顶科技,半导体,0.26,61.43,-12.57,41.14
603171,税友股份,互联网服务,0.48,67.8,-9.39,52.05
603172,万丰股份,化学原料,0.55,70.46,-3.71,64.13
603219,富佳股份,家电行业,2.07,91.74,-13.46,65.94
603225,新凤鸣,化纤行业,1.7,40.6,-5.99,32.18
603228,景旺电子,电子元件,1.56,104.69,-4.0,96.5
603235,天新药业,食品饮料,1.9,40.21,-6.5,31.1
603236,移远通信,通信设备,0.22,82.02,-8.52,66.51
603320,迪贝电气,电机,0.59,126.54,-9.26,105.56
603328,依顿电子,电子元件,2.23,62.62,-1.03,60.93
603337,杰克股份,专用设备,1.79,66.49,-4.25,59.41
603358,华达科技,汽车零部件,1.11,97.5,-1.17,95.19
603386,骏亚科技,电子元件,0.64,70.37,-11.0,51.64
603393,新天然气,燃气,2.33,57.07,-1.16,55.24
603501,韦尔股份,半导体,0.13,42.34,-3.44,37.44
603516,淳中科技,计算机设备,0.28,255.71,-11.58,214.51
603568,伟明环保,环保行业,1.27,49.36,-12.74,30.34
603583,捷昌驱动,专用设备,0.83,64.8,-8.71,50.44
