code,name,股息率_2024,select,get,rate,profit_min
000538,云南白药,4.24,44,44,100.0,0.38
601127,赛力斯,0.89,43,42,97.67,0.82
601601,中国太保,3.22,42,41,97.62,0.35
000063,中兴通讯,1.98,38,37,97.37,0.39
600660,福耀玻璃,2.99,41,39,95.12,0.56
601928,凤凰传媒,4.33,41,39,95.12,0.42
601107,四川成渝,4.73,39,37,94.87,0.44
001965,招商公路,3.35,39,37,94.87,0.37
000999,华润三九,3.14,38,36,94.74,0.45
600750,江中药业,5.19,38,36,94.74,0.56
002179,中航光电,2.01,44,41,93.18,0.39
600016,民生银行,4.62,44,41,93.18,0.5
600282,南钢股份,4.31,42,39,92.86,0.42
601318,中国平安,4.79,40,37,92.5,0.32
000895,双汇发展,5.74,36,33,91.67,0.42
601166,兴业银行,4.65,35,32,91.43,0.38
601728,中国电信,3.28,35,32,91.43,0.46
600941,中国移动,4.09,34,31,91.18,0.53
000858,五粮液,4.48,41,37,90.24,0.33
600887,伊利股份,3.99,49,44,89.8,0.32
600062,华润双鹤,2.44,45,40,88.89,0.33
600036,招商银行,4.54,35,31,88.57,0.46
600737,中粮糖业,6.63,42,36,85.71,0.73
