code,name,行业,股息率_2023,count,mean,std,min,25%,50%,75%,max,2024-07-30
003816,中国广核,电力行业,1.92,64.0,3.92203125,2.6433343419727255,0.69,2.1574999999999998,3.3449999999999998,4.855,13.8,YES
600674,川投能源,电力行业,2.02,40.0,3.4370000000000003,2.108128590443703,0.46,1.9275,2.8499999999999996,3.9225000000000003,10.05,YES
600025,华能水电,电力行业,1.55,48.0,2.950833333333333,1.975291880756967,0.28,1.3824999999999998,2.39,3.895,7.82,YES
601985,中国核电,电力行业,1.7,53.0,3.543018867924528,2.526652988948073,0.15,1.32,3.43,4.85,9.6,YES
000761,本钢板材,钢铁行业,0.0,169.0,3.9033136094674563,3.5233330610938576,0.0,1.22,3.04,5.43,21.45,YES
000883,湖北能源,电力行业,1.57,61.0,3.4532786885245907,3.0825431715341125,0.0,1.41,2.56,4.46,15.57,YES
002595,豪迈科技,专用设备,1.63,92.0,3.8505434782608696,5.590146425991266,0.0,1.26,2.3600000000000003,4.4025,30.74,YES
000538,云南白药,中药,4.01,41.0,3.392926829268293,2.6574049784540175,-0.02,1.62,2.71,4.56,11.21,YES
002028,思源电气,电网设备,0.62,133.0,4.259248120300752,3.7168988833679677,-0.04,1.84,3.44,5.48,20.68,YES
605016,百龙创园,食品饮料,1.18,179.0,4.386033519553073,3.4601760718651775,-0.07,1.545,3.88,6.154999999999999,18.38,YES
603393,新天然气,燃气,2.33,106.0,5.23056603773585,4.138203389829635,-0.08,2.2824999999999998,4.195,6.9825,18.4,YES
831832,科达自控,软件开发,1.85,159.0,7.381572327044026,8.609342403811386,-0.09,1.895,4.92,9.645,58.51,YES
601200,上海环境,环保行业,1.16,41.0,4.37,4.212083807333372,-0.1,1.12,2.42,7.25,13.73,YES
603055,台华新材,纺织服装,1.51,169.0,4.370414201183431,3.9780918426261294,-0.11,1.4,3.15,6.16,18.97,YES
603535,嘉诚国际,物流行业,0.64,141.0,5.184326241134752,4.437834302089983,-0.12,1.93,3.8,7.18,19.57,YES
002818,富森美,商业百货,8.95,98.0,3.380204081632653,2.7696138327686732,-0.13,1.3475000000000001,2.735,5.23,12.62,YES
002588,史丹利,化肥行业,1.74,69.0,4.140144927536232,4.381862514540385,-0.14,1.13,2.91,5.01,23.84,YES
600309,万华化学,化学制品,2.02,93.0,2.6146236559139786,2.5422822505788436,-0.14,0.84,1.72,3.42,11.74,YES
603160,汇顶科技,半导体,0.26,176.0,4.696931818181818,4.990897167090055,-0.15,1.1975,3.12,6.7725,28.49,YES
002003,伟星股份,纺织服装,3.53,96.0,3.3309374999999997,2.7621231643429662,-0.16,1.395,2.6550000000000002,4.8825,13.29,YES
600886,国投电力,电力行业,2.69,67.0,3.123582089552239,2.127747209219418,-0.16,1.325,3.28,4.135,11.41,YES
600420,国药现代,化学制药,0.84,127.0,4.22763779527559,4.316091790492529,-0.17,1.34,2.76,5.045,19.33,YES
600660,福耀玻璃,玻璃玻纤,2.64,42.0,3.0538095238095235,2.027662299757606,-0.21,1.3775,2.84,4.71,7.21,YES
601126,四方股份,电网设备,3.41,141.0,4.7687234042553195,3.4620610812189874,-0.21,1.95,3.99,6.77,15.44,YES
